original_relpath,preview_relpath,orig_w,orig_h,orig_size_kb,prev_w,prev_h,prev_size_kb,saved_pct,status
paintings-2025\a-joke-on-fragmented-shan-shui\part-3.jpg,paintings-2025\a-joke-on-fragmented-shan-shui\preview\part-3.webp,4834,4656,5524.22,2000,1926,219.78,96.02,SKIPPED_UP_TO_DATE
paintings-2025\a-joke-on-fragmented-shan-shui\part-2.jpg,paintings-2025\a-joke-on-fragmented-shan-shui\preview\part-2.webp,5169,5088,6612.51,2000,1969,233.45,96.47,SKIPPED_UP_TO_DATE
paintings-2025\a-joke-on-fragmented-shan-shui\part-6.jpg,paintings-2025\a-joke-on-fragmented-shan-shui\preview\part-6.webp,5554,5208,7518.8,2000,1875,249.74,96.68,SKIPPED_UP_TO_DATE
paintings-2025\a-joke-on-fragmented-shan-shui\part-4.jpg,paintings-2025\a-joke-on-fragmented-shan-shui\preview\part-4.webp,5050,4992,6545.28,2000,1977,263.75,95.97,SKIPPED_UP_TO_DATE
paintings-2025\a-joke-on-fragmented-shan-shui\part-5.jpg,paintings-2025\a-joke-on-fragmented-shan-shui\preview\part-5.webp,4882,4704,5903.52,2000,1927,249.78,95.77,SKIPPED_UP_TO_DATE
paintings-2025\a-joke-on-fragmented-shan-shui\part-7.jpg,paintings-2025\a-joke-on-fragmented-shan-shui\preview\part-7.webp,5170,5064,8559.48,2000,1959,445.82,94.79,SKIPPED_UP_TO_DATE
paintings-2025\maternity-myth\main-1.png,paintings-2025\maternity-myth\preview\main-1.webp,4378,3624,46492.81,2000,1656,335.48,99.28,SKIPPED_UP_TO_DATE
paintings-2025\a-joke-on-fragmented-shan-shui\part-8.jpg,paintings-2025\a-joke-on-fragmented-shan-shui\preview\part-8.webp,5194,5136,4216.77,2000,1978,90.88,97.84,SKIPPED_UP_TO_DATE
paintings-2025\rock-and-tree-ⅱ\main-1.png,paintings-2025\rock-and-tree-ⅱ\preview\main-1.webp,3897,3880,44308.61,2000,1991,269.15,99.39,SKIPPED_UP_TO_DATE
paintings-2025\rock-and-tree-ⅰ\main-1.png,paintings-2025\rock-and-tree-ⅰ\preview\main-1.webp,3664,3624,38910.98,2000,1978,453.99,98.83,SKIPPED_UP_TO_DATE
paintings-2025\a-joke-on-fragmented-shan-shui\part-9.jpg,paintings-2025\a-joke-on-fragmented-shan-shui\preview\part-9.webp,5530,5304,6260.76,2000,1918,195.57,96.88,SKIPPED_UP_TO_DATE
paintings-2025\floating\main-1.jpg,paintings-2025\floating\preview\main-1.webp,4384,6335,9340.3,1384,2000,278.12,97.02,SKIPPED_UP_TO_DATE
paintings-2025\tree-spirit\main-1.png,paintings-2025\tree-spirit\preview\main-1.webp,3250,1463,7867.56,2000,900,470.03,94.03,SKIPPED_UP_TO_DATE
